amenity_id,category,subtype,name,latitude,longitude,district
W211155181,community,park,(unnamed park),24.536274,54.635942,Al Bahia
W360736610,community,park,(unnamed park),24.543777,54.794111,Al Bahia
W480692722,community,park,(unnamed park),24.552311,54.681447,Al Bahia
W480708691,community,park,(unnamed park),24.558345,54.682144,Al Bahia
N564684020,community,place_of_worship,(unnamed place_of_worship),24.541216,54.634882,Al Bahia
N1811512605,community,place_of_worship,(unnamed place_of_worship),24.585615,54.695785,Al Bahia
N3652876544,community,place_of_worship,(unnamed place_of_worship),24.550905,54.778096,Al Bahia
N3652930756,community,place_of_worship,(unnamed place_of_worship),24.543768,54.794172,Al Bahia
N3652930927,community,place_of_worship,(unnamed place_of_worship),24.538565,54.770462,Al Bahia
N3652930963,community,place_of_worship,(unnamed place_of_worship),24.546229,54.770638,Al Bahia
N4337803493,community,place_of_worship,(unnamed place_of_worship),24.544003,54.834528,Al Bahia
N4337803529,community,place_of_worship,(unnamed place_of_worship),24.561374,54.836156,Al Bahia
N4337804002,community,place_of_worship,(unnamed place_of_worship),24.563885,54.794965,Al Bahia
N4731603134,community,place_of_worship,(unnamed place_of_worship),24.545363,54.627085,Al Bahia
N4731603213,community,place_of_worship,(unnamed place_of_worship),24.595304,54.651337,Al Bahia
N4735556095,community,place_of_worship,(unnamed place_of_worship),24.545879,54.664432,Al Bahia
N4735590783,community,place_of_worship,(unnamed place_of_worship),24.5251,54.6654,Al Bahia
N4745757484,community,place_of_worship,(unnamed place_of_worship),24.570972,54.691628,Al Bahia
N4822605026,community,place_of_worship,(unnamed place_of_worship),24.597629,54.695956,Al Bahia
W89794322,community,place_of_worship,(unnamed place_of_worship),24.557921,54.681352,Al Bahia
W121380329,community,place_of_worship,(unnamed place_of_worship),24.541932,54.690673,Al Bahia
W170001601,community,place_of_worship,(unnamed place_of_worship),24.591922,54.695051,Al Bahia
W172487538,community,place_of_worship,(unnamed place_of_worship),24.515679,54.665271,Al Bahia
W383437853,community,place_of_worship,(unnamed place_of_worship),24.546125,54.672982,Al Bahia
W480048618,community,place_of_worship,(unnamed place_of_worship),24.55516,54.640604,Al Bahia
W481054394,community,place_of_worship,(unnamed place_of_worship),24.554579,54.693402,Al Bahia
W481664988,community,place_of_worship,(unnamed place_of_worship),24.575984,54.687423,Al Bahia
W1257344325,community,place_of_worship,(unnamed place_of_worship),24.545381,54.627139,Al Bahia
N4156742692,community,playground,(unnamed playground),24.546074,54.673802,Al Bahia
N5257740824,community,playground,(unnamed playground),24.514321,54.662579,Al Bahia
N5257752421,community,playground,(unnamed playground),24.513982,54.662504,Al Bahia
N5257767522,community,playground,(unnamed playground),24.51416,54.662393,Al Bahia
W94348039,community,park,Al Bahia Park,24.51406,54.662998,Al Bahia
N4459143594,community,community_centre,Kidoos,24.522205,54.670312,Al Bahia
W121380333,community,park,Shahama Park,24.537224,54.690285,Al Bahia
W469220179,community,park,Shahama Park,24.520958,54.677096,Al Bahia
N5598446821,community,community_centre,THRILL ZONE,24.523331,54.671171,Al Bahia
N4459143197,community,community_centre,faby land,24.525058,54.671999,Al Bahia
N7310106036,community,park,(unnamed park),24.460976,54.318309,Al Bateen
W88378316,community,park,(unnamed park),24.465037,54.320813,Al Bateen
W88378320,community,park,(unnamed park),24.460219,54.319617,Al Bateen
W89664840,community,park,(unnamed park),24.450387,54.346107,Al Bateen
W89664864,community,park,(unnamed park),24.448792,54.346737,Al Bateen
W119139716,community,park,(unnamed park),24.460842,54.332871,Al Bateen
W143441111,community,park,(unnamed park),24.455477,54.318987,Al Bateen
W170060661,community,park,(unnamed park),24.459906,54.338748,Al Bateen
W170060662,community,park,(unnamed park),24.461382,54.336354,Al Bateen
W177633783,community,park,(unnamed park),24.461648,54.326873,Al Bateen
W204725565,community,park,(unnamed park),24.456043,54.327759,Al Bateen
W204726694,community,park,(unnamed park),24.456654,54.329375,Al Bateen
W782784354,community,park,(unnamed park),24.460995,54.31832,Al Bateen
W782784355,community,park,(unnamed park),24.46048,54.317355,Al Bateen
W783142525,community,park,(unnamed park),24.462051,54.317981,Al Bateen
W783142526,community,park,(unnamed park),24.462093,54.318063,Al Bateen
W783142527,community,park,(unnamed park),24.462141,54.318147,Al Bateen
W783142528,community,park,(unnamed park),24.462188,54.31823,Al Bateen
W783142529,community,park,(unnamed park),24.462232,54.318321,Al Bateen
W783142530,community,park,(unnamed park),24.462154,54.318374,Al Bateen
W783142531,community,park,(unnamed park),24.462107,54.318284,Al Bateen
W783142532,community,park,(unnamed park),24.462061,54.318199,Al Bateen
W783142533,community,park,(unnamed park),24.462015,54.318121,Al Bateen
W783142534,community,park,(unnamed park),24.461968,54.31803,Al Bateen
N4977952074,community,place_of_worship,(unnamed place_of_worship),24.453174,54.30995,Al Bateen
W89651333,community,place_of_worship,(unnamed place_of_worship),24.448496,54.346886,Al Bateen
W289822310,community,place_of_worship,(unnamed place_of_worship),24.459778,54.334075,Al Bateen
W418124887,community,place_of_worship,(unnamed place_of_worship),24.458927,54.339107,Al Bateen
W437415316,community,place_of_worship,(unnamed place_of_worship),24.458397,54.337882,Al Bateen
W480247262,community,place_of_worship,(unnamed place_of_worship),24.45826,54.340775,Al Bateen
W1101331798,community,place_of_worship,(unnamed place_of_worship),24.460766,54.324461,Al Bateen
W1243701731,community,place_of_worship,(unnamed place_of_worship),24.461152,54.289971,Al Bateen
N4326560301,community,playground,(unnamed playground),24.460444,54.328591,Al Bateen
N4326565695,community,playground,(unnamed playground),24.460158,54.328485,Al Bateen
N4326565796,community,playground,(unnamed playground),24.460729,54.328187,Al Bateen
N4326565992,community,playground,(unnamed playground),24.460287,54.328587,Al Bateen
N4326588591,community,playground,(unnamed playground),24.460686,54.328452,Al Bateen
N4326588692,community,playground,(unnamed playground),24.460714,54.32827,Al Bateen
N4326591390,community,playground,(unnamed playground),24.460034,54.328248,Al Bateen
N11812201873,community,playground,(unnamed playground),24.413008,54.349891,Al Bateen
W204796904,community,place_of_worship,Al Bateen Mosque,24.458151,54.331195,Al Bateen
N4027311314,community,community_centre,Al Mudhaif Ballroom,24.463251,54.32799,Al Bateen
W177633784,community,park,Baynunah Park,24.460504,54.32856,Al Bateen
W1274489610,community,park,Bike Park,24.419037,54.329986,Al Bateen
N11812201859,community,place_of_worship,Ladies prayer room,24.414142,54.350165,Al Bateen
N11812201858,community,place_of_worship,Men's prayer room,24.414215,54.34986,Al Bateen
W204777307,community,park,حديقة البطين,24.456646,54.342207,Al Bateen
W437421667,community,place_of_worship,مسجد محمد بن عبدالله صالح,24.455686,54.342424,Al Bateen
W230248451,community,place_of_worship,(unnamed place_of_worship),24.332925,54.810599,Al Ghadeer
W230248452,community,place_of_worship,(unnamed place_of_worship),24.335223,54.803127,Al Ghadeer
W479379847,community,place_of_worship,(unnamed place_of_worship),24.240478,54.717917,Al Ghadeer
W479383452,community,place_of_worship,(unnamed place_of_worship),24.237452,54.726273,Al Ghadeer
W479385474,community,place_of_worship,(unnamed place_of_worship),24.245999,54.706976,Al Ghadeer
W479585319,community,place_of_worship,(unnamed place_of_worship),24.253101,54.724548,Al Ghadeer
W479585320,community,place_of_worship,(unnamed place_of_worship),24.254801,54.720959,Al Ghadeer
W1141829678,community,place_of_worship,(unnamed place_of_worship),24.220469,54.684505,Al Ghadeer
N11461389197,community,place_of_worship,Women's prayer room,24.220244,54.683658,Al Ghadeer
W1333566689,community,place_of_worship,Women's prayer room,24.221739,54.685849,Al Ghadeer
N5552581730,community,community_centre,(unnamed community_centre),24.468098,54.345893,Al Khalidiyah
